Date,Open,High,Low,Close,Change(Pips),Change(%)
4/5/2022 23:00,123.608,123.614,123.603,123.61,0.2,0
4/5/2022 22:55,123.585,123.616,123.576,123.609,2.4,0.02
4/5/2022 22:50,123.593,123.617,123.579,123.583,-1,-0.01
4/5/2022 22:45,123.595,123.627,123.593,123.597,0.2,0
4/5/2022 22:40,123.597,123.615,123.582,123.596,-0.1,0
4/5/2022 22:35,123.63,123.634,123.596,123.596,-3.4,-0.03
4/5/2022 22:30,123.571,123.636,123.569,123.632,6.1,0.05
4/5/2022 22:25,123.616,123.623,123.569,123.571,-4.5,-0.04
4/5/2022 22:20,123.615,123.63,123.6,123.609,-0.6,0
4/5/2022 22:15,123.631,123.632,123.598,123.619,-1.2,-0.01
4/5/2022 22:10,123.644,123.684,123.633,123.638,-0.6,0
4/5/2022 22:05,123.616,123.646,123.608,123.642,2.6,0.02
4/5/2022 22:00,123.59,123.616,123.585,123.613,2.3,0.02
4/5/2022 21:55,123.587,123.609,123.583,123.594,0.7,0.01
4/5/2022 21:50,123.587,123.587,123.587,123.587,0,0
4/5/2022 21:45,123.592,123.594,123.582,123.588,-0.4,0
4/5/2022 21:40,123.589,123.6,123.589,123.59,0.1,0
4/5/2022 21:35,123.593,123.598,123.589,123.591,-0.2,0
4/5/2022 21:30,123.548,123.599,123.548,123.594,4.6,0.04
4/5/2022 21:25,123.57,123.593,123.536,123.553,-1.7,-0.01
4/5/2022 21:20,123.543,123.549,123.538,123.54,-0.3,0
4/5/2022 21:15,123.54,123.543,123.54,123.542,0.2,0
4/5/2022 21:10,123.491,123.555,123.491,123.552,6.1,0.05
4/5/2022 21:05,123.499,123.609,123.468,123.492,-0.7,-0.01
4/5/2022 21:00,123.561,123.586,123.5,123.501,-6,-0.05
4/5/2022 20:55,123.595,123.596,123.582,123.594,-0.1,0
4/5/2022 20:50,123.62,123.62,123.592,123.595,-2.5,-0.02
4/5/2022 20:45,123.619,123.633,123.614,123.622,0.3,0
4/5/2022 20:40,123.617,123.622,123.612,123.615,-0.2,0
4/5/2022 20:35,123.619,123.622,123.609,123.615,-0.4,0
